Season;Week;Home or Away;Opponent;Outcome
Regular Season;15;Away;PHI;L
Regular Season;1;Home;NYJ;L
Regular Season;2;Away;CIN;L
Regular Season;3;Home;STL;W
Regular Season;4;Home;KC;L
Regular Season;5;Away;NYJ;L
Regular Season;6;Away;MIA;L
Regular Season;7;Home;IND;W
Regular Season;8;Home;NE;L
Regular Season;9;Away;TB;L
Regular Season;10;Home;PIT;W
Regular Season;11;Home;MIA;L
Regular Season;12;Away;NE;L
Regular Season;13;Away;KC;W
Regular Season;14;Home;CLE;L
Regular Season;15;Away;IND;L
Regular Season;16;Away;HOU;L
Regular Season;1;Away;WAS;L
Regular Season;2;Home;DET;W
Regular Season;3;Home;CIN;L
Regular Season;5;Away;CLE;L
Regular Season;6;Home;MIN;W
Regular Season;7;Home;BAL;W
Regular Season;8;Away;DET;W
Regular Season;9;Away;NO;W
Regular Season;10;Home;SF;W
Regular Season;11;Home;CAR;W
Regular Season;1;Away;DAL;W
Regular Season;2;Home;WAS;L
Regular Season;3;Home;TB;L
Regular Season;4;Away;CAR;L
Regular Season;5;Home;MIN;L
Regular Season;6;Away;STL;L
Regular Season;7;Home;NO;L
Regular Season;9;Home;PHI;L
Regular Season;10;Away;NYG;W
Regular Season;11;Away;NO;L
Regular Season;12;Home;TEN;L
Regular Season;13;Away;HOU;L
Regular Season;14;Home;CAR;W
Regular Season;15;Away;IND;L
Regular Season;16;Away;TB;W
Regular Season;17;Home;JAC;W
Preseason;1;Home;JAC;W
Preseason;2;Home;NYG;W
Preseason;3;Away;DAL;W
Preseason;4;Away;CIN;W
Regular Season;1;Away;GB;L
Regular Season;2;Home;CHI;L
Regular Season;3;Home;CIN;W
Regular Season;5;Home;TB;L
Regular Season;6;Away;NYG;W
Regular Season;7;Home;CAR;W
Regular Season;8;Away;NO;W
Regular Season;9;Home;BAL;W
Regular Season;10;Away;PIT;T
Regular Season;11;Home;NO;W
Regular Season;12;Away;CAR;W
Regular Season;13;Away;MIN;W
Regular Season;14;Away;TB;L
Regular Season;15;Home;SEA;L
Regular Season;16;Home;DET;W
Regular Season;17;Away;CLE;L
Postseason;18;Away;GB;W
Postseason;19;Away;PHI;L
Preseason;1;Home;DAL;L
Preseason;2;Away;ARI;L
Preseason;3;Home;DET;W
Preseason;1;Away;PHI;L
Preseason;2;Home;IND;W
Preseason;3;Away;BUF;W
Preseason;4;Home;CAR;W
Regular Season;1;Away;DEN;L
Regular Season;2;Home;NYJ;W
Regular Season;3;Away;OAK;L
Regular Season;5;Home;PHI;W
Regular Season;6;Away;TEN;L
Regular Season;7;Away;CIN;W
Regular Season;8;Home;WAS;W
Regular Season;9;Away;NYG;W
Regular Season;10;Home;KC;W
Regular Season;11;Home;BAL;L
Regular Season;12;Away;CLE;L
Regular Season;13;Away;BAL;W
Regular Season;14;Home;SD;L
Regular Season;15;Away;DAL;L
Regular Season;16;Home;CIN;L
Regular Season;17;Home;CLE;W
Preseason;1;Away;WAS;L
Preseason;2;Home;PHI;W
Preseason;3;Home;ATL;W
Preseason;4;Away;CAR;W
Regular Season;1;Away;BAL;L
Regular Season;2;Home;SEA;W
Regular Season;3;Away;IND;W
Regular Season;4;Away;HOU;L
Regular Season;5;Home;TEN;W
Regular Season;6;Home;JAC;W
Regular Season;7;Away;ARI;W
Regular Season;8;Home;NE;W
Regular Season;9;Home;BAL;L
Regular Season;10;Away;CIN;W
Regular Season;12;Away;KC;W
Regular Season;13;Home;CIN;W
Regular Season;14;Home;CLE;W
Regular Season;15;Away;SF;L
Regular Season;16;Home;STL;W
Regular Season;17;Away;CLE;W
Postseason;18;Away;DEN;L
Preseason;1;Home;DET;W
Preseason;2;Away;NYG;W
Preseason;3;Away;DEN;L
Preseason;4;Home;CAR;W
Regular Season;1;Home;ATL;W
Regular Season;2;Away;TEN;W
Regular Season;3;Away;TB;W
Regular Season;4;Home;BAL;L
Regular Season;6;Home;CLE;W
Regular Season;7;Away;MIA;W
Regular Season;8;Away;NO;L
Regular Season;9;Away;CIN;W
Regular Season;10;Home;NE;L
Regular Season;11;Home;OAK;W
Regular Season;12;Away;BUF;W
Regular Season;13;Away;BAL;W
Regular Season;14;Home;CIN;W
Regular Season;15;Home;NYJ;L
Regular Season;16;Home;CAR;W
Regular Season;17;Away;CLE;W
Postseason;19;Home;BAL;W
Postseason;20;Home;NYJ;W
Postseason;22;Away;GB;L
Preseason;1;Home;ARI;W
Preseason;2;Away;WAS;L
Preseason;3;Home;BUF;W
Preseason;4;Away;CAR;W
Regular Season;1;Home;TEN;W
Regular Season;2;Away;CHI;L
Regular Season;3;Away;CIN;L
Regular Season;4;Home;SD;W
Regular Season;5;Away;DET;W
Regular Season;6;Home;CLE;W
Regular Season;7;Home;MIN;W
Regular Season;9;Away;DEN;W
Regular Season;10;Home;CIN;L
Regular Season;11;Away;KC;L
Regular Season;12;Away;BAL;L
Regular Season;13;Home;OAK;L
Regular Season;14;Away;CLE;L
Regular Season;15;Home;GB;W
Regular Season;16;Home;BAL;W
Regular Season;17;Away;MIA;W
Preseason;1;Home;PHI;W
Preseason;2;Away;BUF;L
Preseason;3;Away;MIN;W
Preseason;4;Home;CAR;W
Preseason;0;Home;NO;W
Preseason;1;Home;GB;L
Preseason;2;Away;WAS;W
Preseason;3;Home;PHI;W
Preseason;4;Away;CAR;W
Regular Season;1;Away;CLE;W
Regular Season;2;Home;BUF;W
Regular Season;3;Home;SF;W
Regular Season;4;Away;ARI;L
Regular Season;5;Home;SEA;W
Regular Season;7;Away;DEN;L
Regular Season;8;Away;CIN;W
Regular Season;9;Home;BAL;W
Regular Season;10;Home;CLE;W
Regular Season;11;Away;NYJ;L
Regular Season;12;Home;MIA;W
Regular Season;13;Home;CIN;W
Regular Season;14;Away;NE;L
Regular Season;15;Home;JAC;L
Regular Season;16;Away;STL;W
Regular Season;17;Away;BAL;L
Postseason;18;Home;JAC;L
Preseason;1;Away;ARI;L
Preseason;2;Home;MIN;L
Preseason;3;Away;PHI;L
Preseason;4;Home;CAR;L
Regular Season;1;Home;MIA;W
Regular Season;2;Away;JAC;L
Regular Season;3;Home;CIN;L
Regular Season;5;Away;SD;L
Regular Season;6;Home;KC;W
Regular Season;7;Away;ATL;L
Regular Season;8;Away;OAK;L
Regular Season;9;Home;DEN;L
Regular Season;10;Home;NO;W
Regular Season;11;Away;CLE;W
Regular Season;12;Away;BAL;L
Regular Season;13;Home;TB;W
Regular Season;14;Home;CLE;W
Regular Season;15;Away;CAR;W
Regular Season;16;Home;BAL;L
Regular Season;17;Away;CIN;W
Regular Season;2;Away;HOU;W
Regular Season;3;Home;NE;L
Regular Season;5;Away;SD;W
Regular Season;6;Home;JAC;L
Regular Season;7;Away;CIN;W
Regular Season;8;Home;BAL;W
Regular Season;9;Away;GB;W
Regular Season;10;Home;CLE;W
Regular Season;11;Away;BAL;L
Regular Season;12;Away;IND;L
Regular Season;13;Home;CIN;L
Regular Season;14;Home;CHI;W
Regular Season;15;Away;MIN;W
Regular Season;16;Away;CLE;W
Regular Season;17;Home;DET;W
Postseason;18;Away;CIN;W
Postseason;19;Away;IND;W
Postseason;20;Away;DEN;W
Postseason;21;Home;SEA;W
Regular Season;1;Home;BAL;W
Regular Season;2;Away;KC;L
Regular Season;3;Away;CIN;W
Regular Season;4;Home;TEN;L
Regular Season;5;Home;CLE;L
Regular Season;6;Away;DEN;L
Regular Season;8;Home;STL;L
Regular Season;9;Away;SEA;L
Regular Season;10;Home;ARI;W
Regular Season;11;Away;SF;L
Regular Season;12;Away;CLE;W
Regular Season;13;Home;CIN;L
Regular Season;14;Home;OAK;W
Regular Season;15;Away;NYJ;L
Regular Season;16;Home;SD;W
Regular Season;17;Away;BAL;L
Preseason;1;Home;NYJ;L
Preseason;2;Away;WAS;L
Preseason;3;Away;DET;W
Preseason;4;Home;MIN;W
Regular Season;1;Away;NE;L
Regular Season;2;Home;OAK;L
Regular Season;4;Home;CLE;W
Regular Season;5;Away;NO;L
Regular Season;6;Away;CIN;W
Regular Season;7;Home;IND;W
Regular Season;8;Away;BAL;W
Regular Season;9;Away;CLE;W
Regular Season;10;Home;ATL;T
Regular Season;11;Away;TEN;L
Regular Season;12;Home;CIN;W
Regular Season;13;Away;JAC;W
Regular Season;14;Home;HOU;L
Regular Season;15;Home;CAR;W
Regular Season;16;Away;TB;W
Regular Season;17;Home;BAL;W
Postseason;18;Home;CLE;W
Postseason;19;Away;TEN;L
Regular Season;1;Away;GB;L
Regular Season;2;Away;CLE;L
Regular Season;4;Home;STL;L
Regular Season;5;Away;MIN;L
Regular Season;6;Home;TEN;L
Regular Season;7;Home;CIN;L
Regular Season;8;Away;SF;L
Regular Season;9;Home;TB;L
Regular Season;10;Away;ARI;L
Regular Season;11;Home;GB;L
Regular Season;12;Away;CHI;L
Regular Season;1;Away;NO;W
Regular Season;2;Home;WAS;W
Regular Season;3;Home;TB;L
Regular Season;4;Away;CHI;W
Regular Season;5;Home;MIN;L
Regular Season;6;Home;GB;W
Regular Season;8;Away;TB;W
Regular Season;9;Away;IND;L
Regular Season;10;Home;MIA;L
Regular Season;11;Home;ATL;W
Regular Season;12;Away;NYG;W
Regular Season;13;Home;NE;W
Regular Season;14;Away;MIN;L
Regular Season;15;Away;GB;L
Regular Season;16;Away;NYJ;W
Regular Season;17;Home;CHI;L
Regular Season;1;Away;SEA;W
Regular Season;2;Home;GB;W
Regular Season;3;Away;KC;L
Regular Season;5;Home;SD;L
Regular Season;6;Home;MIN;W
Regular Season;7;Away;CAR;W
Regular Season;8;Home;TB;W
Regular Season;9;Home;STL;W
Regular Season;10;Away;ARI;L
Regular Season;11;Away;GB;L
Regular Season;12;Home;CHI;W
Regular Season;13;Home;WAS;W
Regular Season;14;Away;TB;L
Regular Season;15;Away;CHI;L
Regular Season;16;Home;DEN;L
Regular Season;17;Away;MIN;L
Postseason;18;Away;WAS;L
Regular Season;1;Away;GB;L
Regular Season;2;Home;CIN;L
Regular Season;3;Away;MIN;L
Regular Season;4;Home;TB;W
Regular Season;5;Away;CHI;L
Regular Season;7;Home;GB;W
Regular Season;8;Home;MIN;L
Regular Season;9;Home;ARI;L
Regular Season;10;Away;PHI;L
Regular Season;11;Home;CHI;W
Regular Season;12;Away;TB;W
Regular Season;13;Home;PIT;W
Regular Season;14;Away;JAC;L
Regular Season;15;Away;SF;L
Regular Season;16;Home;ATL;L
Regular Season;6;Away;DAL;L
Regular Season;7;Home;STL;L
Regular Season;8;Home;NO;L
Regular Season;9;Away;PIT;L
Regular Season;10;Away;MIN;W
Regular Season;11;Away;CLE;L
Regular Season;12;Home;CHI;L
Regular Season;13;Home;HOU;W
Regular Season;14;Away;SF;L
Regular Season;15;Home;GB;L
Regular Season;16;Away;DET;L
Regular Season;3;Home;RAM;W
Regular Season;4;Home;STL;L
Regular Season;5;Away;DEN;W
Regular Season;6;Home;NO;W
Regular Season;7;Away;SF;W
Regular Season;8;Home;GB;L
Regular Season;9;Away;NO;L
Postseason;10;Away;MIN;L
Regular Season;1;Home;SF;W
Regular Season;2;Away;SD;L
Regular Season;3;Away;MIN;L
Regular Season;4;Home;OAK;W
Regular Season;5;Away;TB;L
Regular Season;6;Away;DEN;L
Regular Season;7;Home;CHI;W
Regular Season;8;Home;GB;W
Regular Season;9;Away;LA;L
Regular Season;10;Away;WAS;L
Regular Season;11;Home;DAL;W
Regular Season;12;Away;CHI;W
Regular Season;13;Home;KC;W
Regular Season;14;Away;GB;L
Regular Season;15;Home;MIN;W
Regular Season;16;Home;TB;L
Regular Season;1;Away;LA;W
Regular Season;2;Away;GB;W
Regular Season;3;Home;STL;W
Regular Season;4;Home;MIN;W
Regular Season;5;Away;ATL;L
Regular Season;6;Home;NO;W
Regular Season;7;Away;CHI;L
Regular Season;8;Away;KC;L
Regular Season;9;Home;SF;W
Regular Season;10;Away;MIN;L
Regular Season;11;Home;BAL;L
Regular Season;12;Away;TB;W
Regular Season;13;Home;CHI;L
Regular Season;14;Away;STL;L
Regular Season;15;Home;TB;W
Regular Season;16;Home;GB;W
Regular Season;1;Away;TB;L
Regular Season;2;Home;WAS;L
Regular Season;3;Away;NYJ;L
Regular Season;4;Home;ATL;W
Regular Season;5;Home;MIN;L
Regular Season;6;Away;NE;L
Regular Season;7;Away;GB;L
Regular Season;8;Away;NO;L
Regular Season;9;Home;BUF;L
Regular Season;10;Away;CHI;L
Regular Season;11;Home;TB;L
Regular Season;12;Away;MIN;L
Regular Season;13;Home;CHI;W
Regular Season;14;Away;PHI;L
Regular Season;15;Home;MIA;L
Regular Season;16;Home;GB;L
Regular Season;1;Away;CIN;W
Regular Season;2;Home;SD;L
Regular Season;3;Away;NE;L
Regular Season;4;Home;JAC;L
Regular Season;6;Away;BAL;W
Regular Season;7;Home;CIN;W
Regular Season;8;Home;CHI;L
Regular Season;9;Away;PIT;W
Regular Season;10;Away;TB;W
Regular Season;11;Home;PIT;W
Regular Season;12;Home;NYJ;L
Regular Season;13;Away;SEA;L
Regular Season;14;Home;BAL;W
Regular Season;15;Away;JAC;W
Regular Season;16;Away;GB;L
Regular Season;17;Home;MIN;L
Regular Season;1;Away;BAL;W
Regular Season;2;Home;NYG;W
Regular Season;4;Home;PIT;W
Regular Season;5;Away;WAS;L
Regular Season;6;Home;CIN;W
Regular Season;7;Home;PHI;W
Regular Season;8;Away;DAL;L
Regular Season;9;Away;PIT;L
Regular Season;10;Away;TEN;W
Regular Season;11;Home;KC;W
Regular Season;12;Home;TEN;W
Regular Season;13;Away;CIN;L
Regular Season;14;Home;BAL;W
Regular Season;15;Home;NE;L
Regular Season;16;Away;BUF;W
Regular Season;17;Away;OAK;W
Postseason;18;Away;DEN;L
Regular Season;1;Away;HOU;W
Regular Season;2;Home;OAK;W
Regular Season;3;Away;SEA;W
Regular Season;4;Home;DEN;W
Regular Season;5;Away;SD;L
Regular Season;6;Home;PIT;L
Regular Season;8;Home;SEA;W
Regular Season;9;Away;DEN;L
Regular Season;10;Away;MIN;W
Regular Season;11;Home;GB;W
Regular Season;12;Home;CHI;W
Regular Season;13;Home;SD;L
Regular Season;14;Away;DET;W
Regular Season;15;Away;OAK;L
Regular Season;16;Home;IND;L
Regular Season;17;Away;BUF;L
Preseason;1;Away;HOU;L
Preseason;2;Home;DAL;W
Preseason;3;Home;GB;L
Preseason;4;Away;ARI;W
Regular Season;9;Home;MIA;L
Regular Season;10;Away;CLE;W
Regular Season;11;Away;ATL;W
Regular Season;12;Home;OAK;L
Regular Season;13;Away;NYJ;W
Regular Season;14;Home;KC;W
Regular Season;15;Away;CAR;L
Regular Season;16;Home;BUF;L
Regular Season;17;Away;SD;L
Preseason;1;Away;SF;W
Preseason;2;Away;DAL;L
Preseason;3;Home;CLE;L
Preseason;4;Home;ARI;W
Regular Season;10;Away;KC;W
Regular Season;11;Home;TEN;W
Regular Season;12;Away;CHI;L
Regular Season;13;Away;OAK;L
Regular Season;14;Home;KC;W
Regular Season;15;Away;HOU;L
Regular Season;16;Away;SD;L
Regular Season;17;Home;MIN;W
Regular Season;1;Away;GB;L
Regular Season;2;Home;PIT;W
Regular Season;3;Away;NYG;L
Regular Season;4;Away;HOU;W
Regular Season;5;Home;NO;L
Regular Season;7;Away;ATL;L
Regular Season;8;Home;DET;L
Regular Season;9;Away;SF;L
Regular Season;11;Home;ATL;L
Regular Season;12;Home;WAS;W
Regular Season;1;Away;BUF;L
Regular Season;2;Home;NE;W
Regular Season;3;Away;MIA;L
Regular Season;4;Home;NYJ;W
Regular Season;5;Away;SF;L
Regular Season;6;Away;NO;L
Regular Season;7;Home;NYG;W
Regular Season;9;Away;ATL;L
Regular Season;10;Home;PHO;L
Regular Season;11;Away;DAL;W
Regular Season;12;Home;SF;L
Regular Season;13;Home;MIN;L
Regular Season;14;Away;TB;W
Regular Season;15;Home;NO;L
Regular Season;16;Away;GB;L
Regular Season;17;Home;ATL;W
Regular Season;1;Home;PHO;L
Regular Season;2;Away;NYG;W
Regular Season;3;Away;NO;L
Regular Season;4;Away;SF;L
Regular Season;5;Home;GB;W
Regular Season;7;Home;SD;W
Regular Season;8;Away;RAI;L
Regular Season;9;Away;ATL;L
Regular Season;10;Home;NO;L
Regular Season;11;Home;KC;L
Regular Season;12;Away;DET;L
Regular Season;13;Home;SF;L
Regular Season;14;Home;WAS;L
Regular Season;15;Home;ATL;L
Regular Season;16;Away;MIN;L
Regular Season;17;Away;SEA;L
Regular Season;1;Home;PIT;W
Regular Season;2;Away;NYJ;L
Regular Season;3;Home;SD;L
Regular Season;4;Away;KC;L
Regular Season;5;Away;DEN;W
Regular Season;6;Away;NO;L
Regular Season;7;Home;CIN;L
Regular Season;8;Away;SF;L
Regular Season;9;Home;BUF;L
Regular Season;11;Home;HOU;L
Regular Season;12;Home;MIA;L
Regular Season;13;Home;RAM;L
Regular Season;14;Away;HOU;L
Regular Season;15;Home;ATL;W
Regular Season;16;Away;PIT;L
Regular Season;17;Away;CIN;L
Regular Season;1;Away;PIT;W
Regular Season;2;Home;NYJ;W
Regular Season;3;Away;CIN;L
Regular Season;4;Home;DEN;W
Regular Season;5;Away;MIA;L
Regular Season;6;Home;PIT;L
Regular Season;7;Home;CHI;W
Regular Season;8;Home;HOU;W
Regular Season;9;Away;TB;W
Regular Season;10;Away;SEA;W
Regular Season;12;Away;DET;L
Regular Season;13;Home;CIN;L
Regular Season;14;Away;IND;L
Regular Season;15;Home;MIN;W
Regular Season;16;Away;HOU;W
Postseason;18;Home;BUF;W
Postseason;19;Away;DEN;L
Regular Season;2;Home;NYJ;L
Regular Season;3;Home;IND;W
Regular Season;4;Away;CIN;L
Regular Season;5;Away;PIT;W
Regular Season;6;Home;SEA;L
Postseason;17;Home;HOU;L
Regular Season;1;Away;NO;L
Regular Season;2;Home;PIT;W
Regular Season;12;Home;IND;L
Regular Season;13;Home;CIN;W
Regular Season;14;Away;RAI;W
Regular Season;15;Away;PIT;W
Postseason;17;Home;IND;W
Postseason;18;Away;DEN;L
Regular Season;1;Away;CHI;L
Regular Season;2;Away;HOU;W
Regular Season;3;Home;CIN;L
Regular Season;4;Home;DET;W
Regular Season;5;Away;PIT;W
Regular Season;6;Home;KC;W
Regular Season;7;Home;GB;L
Regular Season;8;Away;MIN;W
Regular Season;9;Away;IND;W
Regular Season;10;Home;MIA;W
Regular Season;11;Away;RAI;L
Regular Season;12;Home;PIT;W
Regular Season;13;Home;HOU;W
Regular Season;14;Away;BUF;W
Regular Season;15;Away;CIN;W
Regular Season;16;Home;SD;W
Postseason;18;Home;NYJ;W
Postseason;19;Home;DEN;L
Regular Season;1;Away;PIT;L
Regular Season;2;Away;MIA;L
Regular Season;3;Home;DET;W
Regular Season;4;Away;NYJ;L
Regular Season;5;Home;BUF;W
Regular Season;6;Home;DEN;L
Regular Season;7;Away;BUF;L
Regular Season;8;Home;GB;W
Regular Season;9;Home;NYJ;L
Regular Season;10;Away;NE;L
Regular Season;11;Home;MIA;L
Regular Season;12;Away;KC;L
Regular Season;13;Home;NE;L
Regular Season;14;Away;CHI;L
Regular Season;15;Away;TB;W
Regular Season;16;Home;HOU;W
Regular Season;1;Home;NYJ;L
Regular Season;2;Away;HOU;W
Regular Season;3;Home;STL;L
Regular Season;4;Away;MIA;L
Regular Season;5;Home;BUF;W
Regular Season;6;Home;WAS;L
Regular Season;7;Away;PHI;L
Regular Season;8;Home;PIT;W
Regular Season;9;Away;DAL;L
Regular Season;10;Home;SD;L
Regular Season;11;Away;NYJ;W
Regular Season;12;Home;NE;L
Regular Season;13;Away;RAI;L
Regular Season;14;Away;BUF;L
Regular Season;15;Home;MIA;L
Regular Season;16;Away;NE;L
Regular Season;1;Away;NE;W
Regular Season;2;Home;DEN;L
Regular Season;3;Away;BUF;L
Regular Season;4;Home;CHI;W
Regular Season;5;Away;CIN;W
Regular Season;6;Home;NE;W
Regular Season;7;Home;BUF;L
Regular Season;8;Home;MIA;L
Regular Season;9;Away;PHI;W
Regular Season;10;Away;NYJ;W
Regular Season;11;Home;PIT;L
Regular Season;12;Away;MIA;L
Regular Season;13;Away;CLE;L
Regular Season;14;Home;NYJ;L
Regular Season;15;Away;DEN;L
Regular Season;16;Home;HOU;W
Regular Season;1;Home;NE;L
Regular Season;2;Away;MIA;L
Regular Season;3;Away;NYJ;L
Regular Season;4;Away;BUF;L
Regular Season;5;Home;CIN;L
Regular Season;6;Away;MIN;L
Regular Season;8;Away;SD;L
Regular Season;9;Home;MIA;L
Regular Season;1;Home;PHI;L
Regular Season;3;Home;TB;W
Regular Season;5;Away;RAM;L
Regular Season;6;Home;DAL;L
Regular Season;8;Home;CHI;L
Regular Season;11;Home;BUF;L
Regular Season;12;Home;MIN;L
Regular Season;13;Home;IND;W
Regular Season;14;Away;ATL;L
Regular Season;6;Away;TB;L
Regular Season;12;Home;TB;W
Regular Season;13;Away;MIN;L
Regular Season;14;Home;SEA;L
Regular Season;15;Away;PHI;L
Regular Season;16;Home;DET;L
Regular Season;17;Away;DEN;L
Regular Season;4;Home;ATL;W
Regular Season;5;Home;DAL;W
Regular Season;6;Away;MIN;L
Regular Season;8;Home;DET;W
Regular Season;9;Home;CHI;W
Regular Season;10;Away;DET;L
Regular Season;11;Away;SF;W
Regular Season;12;Home;MIN;W
Regular Season;15;Away;CHI;W
Regular Season;4;Home;CHI;L
Regular Season;5;Away;TB;L
Regular Season;6;Home;NE;W
Regular Season;7;Away;MIN;W
Regular Season;8;Home;WAS;L
Regular Season;9;Away;BUF;L
Regular Season;11;Home;IND;L
Regular Season;14;Away;DET;L
Regular Season;15;Home;MIN;W
Regular Season;16;Away;PHO;W
Regular Season;1;Home;CIN;L
Regular Season;2;Home;MIA;L
Regular Season;4;Home;NYJ;W
Regular Season;5;Away;PIT;L
Regular Season;6;Home;NE;W
Regular Season;7;Away;NYJ;W
Regular Season;8;Home;SD;L
Regular Season;9;Away;MIA;W
Regular Season;10;Away;NE;L
Regular Season;3;Home;RAM;L
Regular Season;4;Home;NYJ;L
Regular Season;5;Away;SF;L
Regular Season;6;Home;NO;L
Regular Season;7;Away;BUF;L
Regular Season;8;Home;MIA;L
Regular Season;9;Home;CLE;L
Regular Season;10;Home;NE;L
Regular Season;11;Away;NYJ;L
Regular Season;12;Away;HOU;L
Regular Season;13;Home;SD;L
Regular Season;14;Away;ATL;W
Regular Season;15;Home;BUF;W
Regular Season;16;Away;RAI;W
Regular Season;1;Away;CHI;L
Regular Season;2;Away;NO;L
Regular Season;3;Home;DET;W
Regular Season;4;Away;NYG;L
Regular Season;5;Home;GB;W
Regular Season;6;Home;MIN;W
Regular Season;7;Away;DET;L
Regular Season;8;Home;CHI;L
Regular Season;9;Away;KC;L
Regular Season;10;Away;MIN;L
Regular Season;11;Home;NYG;W
Regular Season;3;Away;PHI;W
Regular Season;4;Home;MIN;W
Regular Season;5;Home;NO;L
Postseason;18;Away;JAC;L
Regular Season;11;Home;SEA;L
Regular Season;12;Home;OAK;L
Regular Season;13;Away;SF;L
Regular Season;14;Home;DEN;L
Regular Season;15;Home;ATL;L
Regular Season;16;Home;KC;L
Regular Season;17;Away;DEN;L
Regular Season;1;Home;PIT;W
Regular Season;2;Home;HOU;L
Regular Season;3;Away;OAK;L
Regular Season;4;Away;NE;L
Regular Season;5;Home;CAR;W
Regular Season;6;Away;NO;L
Regular Season;7;Home;NYJ;W
Regular Season;8;Away;STL;L
Regular Season;9;Away;CIN;L
Regular Season;11;Home;BAL;W
Regular Season;12;Away;PIT;L
Regular Season;13;Away;BAL;W
Regular Season;14;Home;CIN;W
Regular Season;15;Away;HOU;W
Regular Season;16;Home;SEA;W
Regular Season;17;Home;ATL;W
Postseason;18;Away;BUF;W
Postseason;19;Away;DEN;W
Postseason;20;Away;NE;L
Regular Season;1;Away;PHI;W
Regular Season;2;Away;CLE;L
Regular Season;3;Home;CHI;L
Regular Season;4;Home;WAS;W
Regular Season;5;Away;CAR;W
Regular Season;6;Home;CIN;W
Regular Season;7;Home;MIN;W
Regular Season;8;Home;ATL;L
Regular Season;9;Away;HOU;L
Regular Season;11;Away;DET;L
Regular Season;12;Home;JAC;W
Regular Season;13;Away;GB;L
Regular Season;14;Away;MIN;L
Regular Season;15;Home;GB;W
Regular Season;16;Away;CHI;L
Regular Season;17;Home;DET;L
Regular Season;9;Home;DAL;L
Regular Season;10;Away;SEA;W
Regular Season;1;Home;CIN;W
Regular Season;2;Home;SF;W
Regular Season;3;Away;RAI;W
Regular Season;4;Away;IND;L
Regular Season;6;Home;MIA;L
Regular Season;7;Away;CIN;W
Regular Season;8;Home;PIT;W
Regular Season;10;Home;DEN;L
Regular Season;11;Away;SEA;L
Regular Season;12;Home;HOU;L
Regular Season;13;Away;ATL;L
Regular Season;14;Home;NO;W
Regular Season;15;Away;HOU;L
Regular Season;16;Home;NE;L
Regular Season;17;Away;RAM;W
Regular Season;18;Away;PIT;L
Regular Season;1;Away;IND;L
Regular Season;2;Home;MIA;L
Regular Season;3;Away;RAI;W
Regular Season;11;Home;SD;L
Regular Season;12;Away;MIN;L
Regular Season;1;Home;DAL;L
Regular Season;2;Away;NE;W
Regular Season;3;Home;CIN;W
Regular Season;4;Away;NYG;L
Regular Season;6;Home;NYJ;L
Regular Season;7;Away;WAS;L
Regular Season;8;Away;SD;W
Regular Season;9;Home;PIT;W
Regular Season;10;Away;CIN;L
Regular Season;11;Home;PHI;L
Regular Season;12;Away;HOU;L
Regular Season;13;Home;KC;W
Regular Season;14;Away;IND;W
Regular Season;15;Home;DEN;L
Regular Season;16;Home;HOU;L
Regular Season;17;Away;PIT;L
Regular Season;1;Home;NYJ;W
Regular Season;3;Home;NE;W
Regular Season;5;Away;RAM;W
Regular Season;6;Away;HOU;L
Regular Season;15;Away;RAI;L
Regular Season;15;Away;NYJ;W
Regular Season;16;Away;BUF;W
Regular Season;17;Home;NE;L
Postseason;18;Away;PIT;L
Preseason;1;Home;TEN;W
Preseason;2;Away;NYJ;L
Preseason;3;Away;MIA;L
Preseason;4;Home;BAL;W
Regular Season;8;Home;TEN;W
Regular Season;10;Away;CIN;W
Regular Season;11;Home;NYJ;W
Regular Season;12;Home;NO;W
Regular Season;13;Away;BUF;L
Regular Season;14;Home;NE;L
Regular Season;15;Away;IND;W
Preseason;1;Home;MIA;W
Preseason;2;Away;HOU;L
Preseason;3;Home;TEN;L
Preseason;4;Away;JAC;W
Regular Season;1;Home;NO;W
Regular Season;2;Away;CIN;L
Regular Season;3;Home;TB;W
Regular Season;4;Away;MIN;L
Regular Season;5;Away;NYG;L
Regular Season;6;Home;CHI;L
Regular Season;7;Away;BAL;L
Regular Season;8;Home;DET;L
Regular Season;10;Away;TB;W
Regular Season;11;Away;CAR;W
Regular Season;12;Home;CLE;L
Regular Season;13;Home;ARI;W
Regular Season;14;Away;GB;L
Regular Season;15;Home;PIT;L
Regular Season;16;Away;NO;W
Regular Season;17;Home;CAR;L
Preseason;1;Away;MIN;W
Preseason;2;Home;MIA;W
Preseason;3;Home;NO;L
Preseason;4;Away;DAL;W
Regular Season;1;Away;SD;W
Regular Season;2;Home;TEN;W
Regular Season;3;Away;BAL;L
Regular Season;4;Home;SEA;L
Regular Season;5;Away;SF;L
Regular Season;6;Home;STL;L
Regular Season;7;Away;KC;L
Regular Season;9;Home;IND;L
Regular Season;10;Away;ARI;L
Regular Season;11;Home;OAK;L
Regular Season;12;Home;JAC;L
Regular Season;13;Home;NE;L
Regular Season;14;Away;JAC;L
Regular Season;15;Away;IND;L
Regular Season;16;Home;DEN;L
Regular Season;17;Away;TEN;L
Preseason;1;Away;CAR;W
Preseason;2;Home;SF;W
Preseason;3;Away;NO;L
Preseason;4;Home;MIN;W
Regular Season;1;Home;MIA;W
Regular Season;2;Away;JAC;W
Regular Season;3;Away;DEN;W
Regular Season;4;Home;TEN;W
